initiative_id,month,planned_spend,actual_spend,cumulative_planned,cumulative_actual,forecast_spend,benefit_realized
INIT-001,2026-01,75580,64130,75580,64130,76678,0
INIT-001,2026-02,144150,145369,219730,209499,146244,0
INIT-001,2026-03,199076,205162,418806,414661,201968,0
INIT-001,2026-04,199076,183106,617882,597767,201968,0
INIT-001,2026-05,144150,132420,762032,730187,146244,0
INIT-001,2026-06,75580,61136,837612,791323,76678,0
INIT-001,2026-07,28694,23929,866306,815252,29111,507
INIT-001,2026-08,0,,866306,,0,
INIT-001,2026-09,0,,866306,,0,
INIT-001,2026-10,0,,866306,,0,
INIT-001,2026-11,0,,866306,,0,
INIT-001,2026-12,0,,866306,,0,
INIT-001,2027-01,0,,866306,,0,
INIT-001,2027-02,0,,866306,,0,
INIT-001,2027-03,0,,866306,,0,
INIT-001,2027-04,0,,866306,,0,
INIT-001,2027-05,0,,866306,,0,
INIT-001,2027-06,0,,866306,,0,
INIT-001,2027-07,0,,866306,,0,
INIT-001,2027-08,0,,866306,,0,
INIT-001,2027-09,0,,866306,,0,
INIT-001,2027-10,0,,866306,,0,
INIT-001,2027-11,0,,866306,,0,
INIT-001,2027-12,0,,866306,,0,
INIT-002,2026-01,0,0,0,0,0,0
INIT-002,2026-02,26198,34277,26198,34277,29111,0
INIT-002,2026-03,44784,50829,70982,85106,49764,0
INIT-002,2026-04,71275,90923,142257,176029,79201,0
INIT-002,2026-05,105610,139523,247867,315552,117354,0
INIT-002,2026-06,145688,141668,393555,457220,161889,0
INIT-002,2026-07,187109,216753,580664,673973,207916,0
INIT-002,2026-08,223726,,804390,,248605,
INIT-002,2026-09,249051,,1053441,,276747,
INIT-002,2026-10,258115,,1311556,,286819,
INIT-002,2026-11,249051,,1560607,,276747,
INIT-002,2026-12,223726,,1784333,,248605,
INIT-002,2027-01,187109,,1971442,,207916,
INIT-002,2027-02,145688,,2117130,,161889,
INIT-002,2027-03,105610,,2222740,,117354,
INIT-002,2027-04,71275,,2294015,,79201,
INIT-002,2027-05,44784,,2338799,,49764,
INIT-002,2027-06,26198,,2364997,,29111,
INIT-002,2027-07,0,,2364997,,0,
INIT-002,2027-08,0,,2364997,,0,
INIT-002,2027-09,0,,2364997,,0,
INIT-002,2027-10,0,,2364997,,0,
INIT-002,2027-11,0,,2364997,,0,
INIT-002,2027-12,0,,2364997,,0,
INIT-003,2026-01,198298,233194,198298,233194,236694,0
INIT-003,2026-02,299763,366094,498061,599288,357805,0
INIT-003,2026-03,368560,431978,866621,1031266,439923,0
INIT-003,2026-04,368560,352892,1235181,1384158,439923,0
INIT-003,2026-05,299763,354008,1534944,1738166,357805,0
INIT-003,2026-06,198298,214695,1733242,1952861,236694,0
INIT-003,2026-07,106691,140456,1839933,2093317,127349,0
INIT-003,2026-08,46688,,1886621,,55728,
INIT-003,2026-09,0,,1886621,,0,
INIT-003,2026-10,0,,1886621,,0,
INIT-003,2026-11,0,,1886621,,0,
INIT-003,2026-12,0,,1886621,,0,
INIT-003,2027-01,0,,1886621,,0,
INIT-003,2027-02,0,,1886621,,0,
INIT-003,2027-03,0,,1886621,,0,
INIT-003,2027-04,0,,1886621,,0,
INIT-003,2027-05,0,,1886621,,0,
INIT-003,2027-06,0,,1886621,,0,
INIT-003,2027-07,0,,1886621,,0,
INIT-003,2027-08,0,,1886621,,0,
INIT-003,2027-09,0,,1886621,,0,
INIT-003,2027-10,0,,1886621,,0,
INIT-003,2027-11,0,,1886621,,0,
INIT-003,2027-12,0,,1886621,,0,
INIT-004,2026-01,0,0,0,0,0,0
INIT-004,2026-02,31177,39542,31177,39542,31605,0
INIT-004,2026-03,76130,74340,107307,113882,77176,0
INIT-004,2026-04,144047,145447,251354,259329,146025,0
INIT-004,2026-05,211188,271650,462542,530979,214088,0
INIT-004,2026-06,239916,260467,702458,791446,243211,0
INIT-004,2026-07,211188,232327,913646,1023773,214088,0
INIT-004,2026-08,144047,,1057693,,146025,
INIT-004,2026-09,76130,,1133823,,77176,
INIT-004,2026-10,31177,,1165000,,31605,
INIT-004,2026-11,0,,1165000,,0,
INIT-004,2026-12,0,,1165000,,0,
INIT-004,2027-01,0,,1165000,,0,
INIT-004,2027-02,0,,1165000,,0,
INIT-004,2027-03,0,,1165000,,0,
INIT-004,2027-04,0,,1165000,,0,
INIT-004,2027-05,0,,1165000,,0,
INIT-004,2027-06,0,,1165000,,0,
INIT-004,2027-07,0,,1165000,,0,
INIT-004,2027-08,0,,1165000,,0,
INIT-004,2027-09,0,,1165000,,0,
INIT-004,2027-10,0,,1165000,,0,
INIT-004,2027-11,0,,1165000,,0,
INIT-004,2027-12,0,,1165000,,0,
INIT-005,2026-01,0,0,0,0,0,0
INIT-005,2026-02,27915,26061,27915,26061,27590,0
INIT-005,2026-03,44436,37393,72351,63454,43919,0
INIT-005,2026-04,67173,63910,139524,127364,66392,0
