Harbourline Group - Transformation Tracker - MASTER - do not edit without asking Priya,,,,,,,,,,,,
Last updated 04/08/26 (some rows still on the old format sorry),,,,,,,,,,,,
Ref,Initiative,Function,Owner,Status,RAG,Start,End,Budget,Spent,Benefit p.a.,Notes,
INIT-001,Enterprise Data Platform (Lakehouse) Build,Technology,Rafael Farouk,Complete,GREEN,11/12/25,2026-07-11,"$895,000","908,000","$70k",Closed - see closure summary,
INIT-002,ERP Finance Module Consolidation,Technology,Lena Doherty,In flight,amber-ish,19/02/26,Jun-27,$2.365m,733000,"~$3m subject to validation",biggest single initiative in the portfolio,
INIT-002a,ERP Finance - Phase 2 (AP/AR),Technology,Lena Doherty,not started,,,,TBD,,,"is this a separate initiative or part of INIT-002? nobody knows",
INIT-003,API Gateway & Integration Layer,Technology,Clara Doherty,In Flight,RED,2025-11-14,14/08/2026,"2,040,000","1,385,000",170000,6 downstream consumers - slip propagates,
INIT-004,Identity & Access Mgmt Modernisation,Technology,Yusuf Mendes,In Flight,Amber,06/02/26,Oct-26,1165000,757000,"$370,000",REGULATORY,
INIT-005,Cloud Migration Wave 1 (Non-Prod),Technology,Isla Duval,In Flight,Green,22/02/26,2027-09-22,"$3,095,000",928500,"1.64m",scope grew Q1 - absorbed DR + test data mgmt,
INIT-006,Cloud Migration Wave 2 - Production,Technology,Gregor Rahman,In Flight,Green,02/02/26,Mar-27,"$1,635,000","$719,400","$1,750,000","SEQUENCING PROBLEM - ends before Wave 1 does??",
INIT-007,CRM Platform Replacement,Technology,Rohan Novak,In Flight,Green,08/05/26,2027-04-08,1.735m,468450,2.2m,,
INIT-008,MDM - Customer & Product,Technology,Idris Corrigan,In Flight,Amber,22/04/26,Mar-27,"$1,780,000","516,200","$270,000",supplier domain descoped from INIT-001 - who owns it now?,
INIT-009,Legacy Mainframe Decomm (Order Mgmt),Technology,Amara Corrigan,Business case,Green,09/11/26,May-27,745000,0,540000,,
INIT-010,Field Mobility App Rollout,Technology,Clara Okonkwo,Business Case,green,16/09/26,2027-11-16,"$2,405,000",0,"1,090,000",,
INIT-011,Field Service Route Optimization,Operations,Sinead Mehta,PAUSED,Amber,22/06/26,Mar-27,"$1,900,000","285,000","$2,990,000","paused? see steering minutes 21 July - actually deferred",
INIT-011,Field Service Route Optimisation,Operations,S. Mehta,Paused,amber,22/06/2026,2027-03-22,1900000,285000,2990000,DUPLICATE ROW - different spelling,
INIT-012,Preventive Maintenance Programme Overhaul,Operations,Tessa Farouk,In Flight,Green,27/04/26,Feb-27,"1,405,000","505,800",2200000,,
INIT-013,Contact Centre Operating Model Redesign,Operations,Isla Rahman,Approved,Green,22/02/27,2029-02-22,"$2,665,000",0,"$3,410,000",starts FY28 - long one,
