initiative_id,name,function,pillar,owner,sponsor,business_unit,description,objective,start_date,end_date,duration_months,stage,rag_status,percent_complete,priority_score,strategic_alignment,value_confidence,complexity,effort_fte,capex,opex,total_budget,spend_to_date,forecast_at_completion,annual_benefit_target,benefit_type,benefit_start_month,benefit_ramp_months,npv,payback_months,run_rate_savings,resource_type_needed,key_systems,region,is_regulatory,tags
INIT-001,Enterprise Data Platform (Lakehouse) Build,Technology,Run Better,Rafael Farouk,Chief Information Officer,Corporate Functions,Replace fragmented legacy tooling with a single supported platform through enterprise data platform (lakehouse) build. A pilot in one region proves the operating model before the group-wide rollout is committed. This is an enabling investment; value is realised through the initiatives it unlocks.,Establish the data and integration foundation for the wider portfolio,2025-12-11,2026-07-11,7,Complete,Green,100,73,5,Low,1,2.3,600000,295000,895000,908190,908000,70000,Capability,7,9,-630000,160,24500,Solution Architect,Snowflake,DACH,False,board-visible; customer-facing
INIT-002,ERP Finance Module Consolidation,Technology,Run Better,Lena Doherty,Chief Digital Officer,Energy Solutions,"Replace fragmented legacy tooling with a single supported platform through erp finance module consolidation. The programme runs a discovery phase first, then design, build and a site-by-site deployment. Benefits are tracked as run-rate savings validated jointly with Finance.",Remove duplicated activity and consolidate onto one way of working,2026-02-19,2027-06-19,16,At Risk,Amber,31,93,4,High,3,7.5,1456000,909000,2365000,838506,2628000,2980000,Cost Save,16,12,7171000,26,2980000,Solution Architect,Kronos; Snowflake,DACH,False,board-visible; cash-release; efficiency; wave-1
INIT-003,API Gateway & Integration Layer,Technology,Run Better,Clara Doherty,Chief Digital Officer,Digital & Customer,Replace fragmented legacy tooling with a single supported platform through api gateway & integration layer. Work is sequenced behind the foundational platform initiatives to avoid rework. This is an enabling investment; value is realised through the initiatives it unlocks.,Establish the data and integration foundation for the wider portfolio,2025-11-14,2026-08-14,9,In Flight,Red,68,59,5,Low,2,3.0,1393000,647000,2040000,1770318,2435000,170000,Capability,11,4,-1396000,155,59499,Test Lead,Workday,Group-wide,False,automation; board-visible; quick-win
INIT-004,Identity & Access Management Modernisation,Technology,Protect,Yusuf Mendes,Chief Information Officer,Digital & Customer,Replace fragmented legacy tooling with a single supported platform through identity & access management modernisation. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Value is expressed as reduced residual risk exposure rather than cash.,Meet regulatory obligations and close known audit findings,2026-02-06,2026-10-06,8,In Flight,Amber,65,84,4,Med,1,2.9,612000,553000,1165000,915126,1181000,370000,Risk Reduction,10,12,238000,48,129499,Integration Engineer,Kinaxis; Okta; Snowflake,Nordics,True,automation; people-impact; site-based
INIT-005,Cloud Migration Wave 1 - Non-Production,Technology,Cost Out,Isla Duval,Chief Information Officer,Energy Solutions,Replace fragmented legacy tooling with a single supported platform through cloud migration wave 1 - non-production. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-02-22,2027-09-22,19,In Flight,Green,30,51,3,Med,5,11.9,1447000,1648000,3095000,968352,3059000,1640000,Cost Save,20,4,2153000,43,1640000,ERP Consultant,Manhattan WMS; Okta; Tableau,Benelux,False,cross-function; data-dependent
INIT-006,Cloud Migration Wave 2 - Production Workloads,Technology,Cost Out,Gregor Rahman,Chief Digital Officer,Corporate Functions,"Replace fragmented legacy tooling with a single supported platform through cloud migration wave 2 - production workloads. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Benefits are tracked as run-rate savings validated jointly with Finance.",Deliver a sustainable reduction in run-rate operating cost,2026-02-02,2027-03-02,13,In Flight,Amber,44,79,5,Low,3,4.2,751000,884000,1635000,807764,1785000,1750000,Cost Save,16,4,3965000,27,1750000,ERP Consultant,Archer GRC; SAP S/4HANA; Salesforce,Benelux,False,automation; commercial; efficiency; foundational
INIT-007,CRM Platform Replacement,Technology,Grow,Rohan Novak,Chief Information Officer,Corporate Functions,Replace fragmented legacy tooling with a single supported platform through crm platform replacement. A pilot in one region proves the operating model before the group-wide rollout is committed. Value is measured as incremental margin against a pre-agreed baseline.,Improve win rate and average deal value in target segments,2026-05-08,2027-04-08,11,In Flight,Green,27,97,5,Med,2,3.8,1229000,506000,1735000,467065,1788000,2200000,Revenue Uplift,12,4,5305000,21,770000,Solution Architect,Blackline; Mainframe OMS,North America,False,board-visible; cash-release; cross-function; vendor-led
INIT-008,Master Data Management - Customer & Product,Technology,Run Better,Idris Corrigan,Chief Digital Officer,Energy Solutions,"Replace fragmented legacy tooling with a single supported platform through master data management - customer & product. The programme runs a discovery phase first, then design, build and a site-by-site deployment. This is an enabling investment; value is realised through the initiatives it unlocks.",Establish the data and integration foundation for the wider portfolio,2026-04-22,2027-03-22,11,In Flight,Amber,29,53,3,Low,1,1.9,885000,895000,1780000,534794,1985000,270000,Capability,12,6,-916000,91,94500,Solution Architect,AWS,Benelux,False,data-dependent; wave-1
INIT-009,Legacy Mainframe Decommission - Order Mgmt,Technology,Cost Out,Amara Corrigan,Chief Digital Officer,Industrial Services,"Replace fragmented legacy tooling with a single supported platform through legacy mainframe decommission - order mgmt. The programme runs a discovery phase first, then design, build and a site-by-site deployment. Benefits are tracked as run-rate savings validated jointly with Finance.",Remove duplicated activity and consolidate onto one way of working,2026-11-09,2027-05-09,6,Business Case,Green,0,85,4,Med,1,2.7,455000,290000,745000,0,699000,540000,Cost Save,8,4,1302000,25,540000,Test Lead,Salesforce,North America,False,cash-release; operating-model; vendor-led; wave-1
INIT-010,Field Mobility App Rollout,Technology,Run Better,Clara Okonkwo,Chief Information Officer,Industrial Services,"Replace fragmented legacy tooling with a single supported platform through field mobility app rollout. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Benefits are tracked as run-rate savings validated jointly with Finance.",Deliver a sustainable reduction in run-rate operating cost,2026-09-16,2027-11-16,14,Business Case,Green,0,56,3,Low,3,6.1,1735000,670000,2405000,0,2316000,1090000,Cost Save,15,12,1083000,41,1090000,ERP Consultant,Manhattan WMS; OneTrust; SAP S/4HANA,Group-wide,False,board-visible; commercial
