initiative_id,month,benefit_plan,benefit_actual,pnl_impact_type,confidence
INIT-001,2026-01,0,0,Enabling (attributed to downstream),Low
INIT-001,2026-02,0,0,Enabling (attributed to downstream),Low
INIT-001,2026-03,0,0,Enabling (attributed to downstream),Low
INIT-001,2026-04,0,0,Enabling (attributed to downstream),Low
INIT-001,2026-05,0,0,Enabling (attributed to downstream),Low
INIT-001,2026-06,0,0,Enabling (attributed to downstream),Low
INIT-001,2026-07,648,507,Enabling (attributed to downstream),Low
INIT-001,2026-08,1296,,Enabling (attributed to downstream),Low
INIT-001,2026-09,1944,,Enabling (attributed to downstream),Low
INIT-001,2026-10,2593,,Enabling (attributed to downstream),Low
INIT-001,2026-11,3241,,Enabling (attributed to downstream),Low
INIT-001,2026-12,3889,,Enabling (attributed to downstream),Low
INIT-001,2027-01,4537,,Enabling (attributed to downstream),Low
INIT-001,2027-02,5185,,Enabling (attributed to downstream),Low
INIT-001,2027-03,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-04,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-05,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-06,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-07,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-08,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-09,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-10,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-11,5833,,Enabling (attributed to downstream),Low
INIT-001,2027-12,5833,,Enabling (attributed to downstream),Low
INIT-002,2026-01,0,0,Opex reduction,High
INIT-002,2026-02,0,0,Opex reduction,High
INIT-002,2026-03,0,0,Opex reduction,High
INIT-002,2026-04,0,0,Opex reduction,High
INIT-002,2026-05,0,0,Opex reduction,High
INIT-002,2026-06,0,0,Opex reduction,High
INIT-002,2026-07,0,0,Opex reduction,High
INIT-002,2026-08,0,,Opex reduction,High
INIT-002,2026-09,0,,Opex reduction,High
INIT-002,2026-10,0,,Opex reduction,High
INIT-002,2026-11,0,,Opex reduction,High
INIT-002,2026-12,0,,Opex reduction,High
INIT-002,2027-01,0,,Opex reduction,High
INIT-002,2027-02,0,,Opex reduction,High
INIT-002,2027-03,0,,Opex reduction,High
INIT-002,2027-04,0,,Opex reduction,High
INIT-002,2027-05,0,,Opex reduction,High
INIT-002,2027-06,20694,,Opex reduction,High
INIT-002,2027-07,41389,,Opex reduction,High
INIT-002,2027-08,62083,,Opex reduction,High
INIT-002,2027-09,82778,,Opex reduction,High
INIT-002,2027-10,103472,,Opex reduction,High
INIT-002,2027-11,124167,,Opex reduction,High
INIT-002,2027-12,144861,,Opex reduction,High
INIT-003,2026-01,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-02,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-03,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-04,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-05,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-06,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-07,0,0,Enabling (attributed to downstream),Low
INIT-003,2026-08,0,,Enabling (attributed to downstream),Low
INIT-003,2026-09,0,,Enabling (attributed to downstream),Low
INIT-003,2026-10,3542,,Enabling (attributed to downstream),Low
INIT-003,2026-11,7083,,Enabling (attributed to downstream),Low
INIT-003,2026-12,10625,,Enabling (attributed to downstream),Low
INIT-003,2027-01,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-02,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-03,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-04,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-05,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-06,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-07,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-08,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-09,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-10,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-11,14167,,Enabling (attributed to downstream),Low
INIT-003,2027-12,14167,,Enabling (attributed to downstream),Low
INIT-004,2026-01,0,0,Non-financial / risk,Med
INIT-004,2026-02,0,0,Non-financial / risk,Med
INIT-004,2026-03,0,0,Non-financial / risk,Med
INIT-004,2026-04,0,0,Non-financial / risk,Med
INIT-004,2026-05,0,0,Non-financial / risk,Med
INIT-004,2026-06,0,0,Non-financial / risk,Med
INIT-004,2026-07,0,0,Non-financial / risk,Med
INIT-004,2026-08,0,,Non-financial / risk,Med
INIT-004,2026-09,0,,Non-financial / risk,Med
INIT-004,2026-10,0,,Non-financial / risk,Med
INIT-004,2026-11,0,,Non-financial / risk,Med
INIT-004,2026-12,2569,,Non-financial / risk,Med
INIT-004,2027-01,5139,,Non-financial / risk,Med
INIT-004,2027-02,7708,,Non-financial / risk,Med
INIT-004,2027-03,10278,,Non-financial / risk,Med
INIT-004,2027-04,12847,,Non-financial / risk,Med
INIT-004,2027-05,15417,,Non-financial / risk,Med
INIT-004,2027-06,17986,,Non-financial / risk,Med
INIT-004,2027-07,20556,,Non-financial / risk,Med
INIT-004,2027-08,23125,,Non-financial / risk,Med
INIT-004,2027-09,25694,,Non-financial / risk,Med
INIT-004,2027-10,28264,,Non-financial / risk,Med
INIT-004,2027-11,30833,,Non-financial / risk,Med
INIT-004,2027-12,30833,,Non-financial / risk,Med
INIT-005,2026-01,0,0,Opex reduction,Med
INIT-005,2026-02,0,0,Opex reduction,Med
INIT-005,2026-03,0,0,Opex reduction,Med
INIT-005,2026-04,0,0,Opex reduction,Med
INIT-005,2026-05,0,0,Opex reduction,Med
INIT-005,2026-06,0,0,Opex reduction,Med
INIT-005,2026-07,0,0,Opex reduction,Med
INIT-005,2026-08,0,,Opex reduction,Med
INIT-005,2026-09,0,,Opex reduction,Med
