risk_id,initiative_id,title,description,category,probability,impact,score,exposure_usd,mitigation,owner,status,raised_date,target_resolution_date
RSK-0001,INIT-001,Environment availability constrains parallel testing,"Technical uncertainty that may require rework or additional discovery effort. Carried on Enterprise Data Platform (Lakehouse) Build (INIT-001, Technology) and reported into the monthly PMO review.",Technical,3,4,12,107000,Build second test environment; stagger test cycles,Olu Boateng,Closed,2026-07-03,2026-09-01
RSK-0002,INIT-002,Single-source dependency on niche implementation partner,"Third-party performance risk against the contracted scope and timeline. Carried on ERP Finance Module Consolidation (INIT-002, Technology) and reported into the monthly PMO review.",Vendor,2,5,10,120000,Knowledge transfer clauses; second supplier pre-qualified,Olu Menzies,Open,2026-06-30,2026-08-29
RSK-0003,INIT-002,Insufficient training capacity in peak season,"People-side risk: the change may not stick without sustained reinforcement. Carried on ERP Finance Module Consolidation (INIT-002, Technology) and reported into the monthly PMO review.",Change/Adoption,3,2,6,54000,Move to blended e-learning; train-the-trainer in each depot,Elise Halvorsen,Open,2026-03-27,2026-07-25
RSK-0004,INIT-002,Data engineering demand exceeds the available pool,"Capacity risk arising from contention for scarce specialist skills. Carried on ERP Finance Module Consolidation (INIT-002, Technology) and reported into the monthly PMO review.",Resource,2,4,8,179000,Prioritisation forum; contract two additional engineers,Lena Doherty,Closed,2026-03-06,2026-05-05
RSK-0005,INIT-002,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on ERP Finance Module Consolidation (INIT-002, Technology) and reported into the monthly PMO review.",Financial,2,4,8,122000,Phase the spend; seek bridge funding from the contingency pot,Lena Doherty,Open,2026-03-13,2026-04-27
RSK-0006,INIT-003,Legacy interfaces poorly documented,"Technical uncertainty that may require rework or additional discovery effort. Carried on API Gateway & Integration Layer (INIT-003, Technology) and reported into the monthly PMO review.",Technical,3,4,12,156000,Fund a discovery spike; engage original vendor for schema walkthrough,Clara Doherty,Closed,2026-05-02,2026-06-16
RSK-0007,INIT-003,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on API Gateway & Integration Layer (INIT-003, Technology) and reported into the monthly PMO review.",Resource,4,4,16,244000,Ring-fence project allocation; agree BAU cover with the site leads,Rafael Corrigan,Mitigating,2025-11-20,2026-02-18
RSK-0008,INIT-003,Critical path compresses if design sign-off slips,"Schedule and execution risk that could push the critical path to the right. Carried on API Gateway & Integration Layer (INIT-003, Technology) and reported into the monthly PMO review.",Delivery,3,3,9,120000,Weekly design authority; pre-book sign-off slots with sponsor,Clara Doherty,Open,2025-10-17,2025-12-16
RSK-0009,INIT-004,Testing window overlaps with year-end freeze,"Schedule and execution risk that could push the critical path to the right. Carried on Identity & Access Management Modernisation (INIT-004, Technology) and reported into the monthly PMO review.",Delivery,3,3,9,114000,Negotiate early freeze exemption; shift regression to November,Priya Kaur,Mitigating,2026-02-02,2026-03-04
RSK-0010,INIT-005,Savings double-counted with another initiative,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Cloud Migration Wave 1 - Non-Production (INIT-005, Technology) and reported into the monthly PMO review.",Financial,1,4,4,141000,Benefit ownership matrix agreed with Finance; single booking point,Isla Duval,Closed,2026-02-19,2026-06-19
RSK-0011,INIT-005,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Cloud Migration Wave 1 - Non-Production (INIT-005, Technology) and reported into the monthly PMO review.",Regulatory,1,3,3,38000,Automate evidence capture; quarterly control self-assessment,Tessa Whitfield,Mitigating,2026-02-25,2026-05-26
RSK-0012,INIT-005,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Cloud Migration Wave 1 - Non-Production (INIT-005, Technology) and reported into the monthly PMO review.",Resource,2,3,6,92000,Interim contractor while permanent recruitment completes,Bjorn Lindqvist,Mitigating,2026-02-01,2026-03-03
RSK-0013,INIT-006,Single-source dependency on niche implementation partner,"Third-party performance risk against the contracted scope and timeline. Carried on Cloud Migration Wave 2 - Production Workloads (INIT-006, Technology) and reported into the monthly PMO review.",Vendor,3,2,6,49000,Knowledge transfer clauses; second supplier pre-qualified,Gregor Rahman,Mitigating,2026-06-06,2026-10-04
RSK-0014,INIT-006,Critical path compresses if design sign-off slips,"Schedule and execution risk that could push the critical path to the right. Carried on Cloud Migration Wave 2 - Production Workloads (INIT-006, Technology) and reported into the monthly PMO review.",Delivery,2,3,6,82000,Weekly design authority; pre-book sign-off slots with sponsor,Gregor Rahman,Closed,2026-01-08,2026-04-08
RSK-0015,INIT-007,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on CRM Platform Replacement (INIT-007, Technology) and reported into the monthly PMO review.",Regulatory,2,3,6,30000,Automate evidence capture; quarterly control self-assessment,Gregor Mehta,Open,2026-08-10,2026-11-08
RSK-0016,INIT-008,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Master Data Management - Customer & Product (INIT-008, Technology) and reported into the monthly PMO review.",Delivery,3,5,15,124000,Change control board; scope baselined and re-approved monthly,Maeve Vlach,Open,2026-05-15,2026-09-12
RSK-0017,INIT-008,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Master Data Management - Customer & Product (INIT-008, Technology) and reported into the monthly PMO review.",Change/Adoption,2,4,8,144000,Early engagement with employee representatives; phased site-by-site rollout,Idris Corrigan,Open,2026-06-21,2026-10-19
RSK-0018,INIT-009,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Legacy Mainframe Decommission - Order Mgmt (INIT-009, Technology) and reported into the monthly PMO review.",Financial,2,4,8,46000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Amara Corrigan,Open,2026-09-25,2026-12-24
RSK-0019,INIT-010,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Field Mobility App Rollout (INIT-010, Technology) and reported into the monthly PMO review.",Delivery,3,2,6,46000,Change control board; scope baselined and re-approved monthly,Clara Okonkwo,Closed,2026-08-09,2026-09-23
RSK-0020,INIT-010,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Field Mobility App Rollout (INIT-010, Technology) and reported into the monthly PMO review.",Financial,1,2,2,16000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Clara Okonkwo,Closed,2026-08-08,2026-09-07
RSK-0021,INIT-010,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Field Mobility App Rollout (INIT-010, Technology) and reported into the monthly PMO review.",Financial,3,2,6,149000,Phase the spend; seek bridge funding from the contingency pot,Priya Nair,Closed,2026-08-06,2026-10-05
RSK-0022,INIT-011,FX movement erodes savings in non-GBP contracts,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Field Service Route Optimisation (INIT-011, Operations) and reported into the monthly PMO review.",Financial,3,5,15,318000,Hedge material contracts; report benefits at constant currency,Tomas Rahman,Mitigating,2026-05-09,2026-09-06
RSK-0023,INIT-011,Licence pricing renegotiation lands above the business case,"Third-party performance risk against the contracted scope and timeline. Carried on Field Service Route Optimisation (INIT-011, Operations) and reported into the monthly PMO review.",Vendor,2,3,6,87000,Lock pricing at contract signature; cap uplift at CPI,Tomas Farouk,Closed,2026-07-21,2026-08-20
RSK-0024,INIT-011,Vendor resource ramp slower than contracted,"Third-party performance risk against the contracted scope and timeline. Carried on Field Service Route Optimisation (INIT-011, Operations) and reported into the monthly PMO review.",Vendor,3,4,12,246000,Service credits in the SOW; escalate at monthly vendor governance,Bjorn Fraser,Mitigating,2026-06-10,2026-09-08
RSK-0025,INIT-012,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Preventive Maintenance Programme Overhaul (INIT-012, Operations) and reported into the monthly PMO review.",Change/Adoption,2,2,4,46000,Early engagement with employee representatives; phased site-by-site rollout,Olu Reinholt,Mitigating,2026-06-23,2026-07-23
RSK-0026,INIT-013,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on Contact Centre Operating Model Redesign (INIT-013, Operations) and reported into the monthly PMO review.",Resource,2,3,6,175000,Ring-fence project allocation; agree BAU cover with the site leads,Isla Rahman,Closed,2027-01-08,2027-03-09
RSK-0027,INIT-014,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Depot Consolidation - Northern Region (INIT-014, Operations) and reported into the monthly PMO review.",Regulatory,3,1,3,90000,Automate evidence capture; quarterly control self-assessment,Rafael MacAulay,Open,2027-04-30,2027-06-14
RSK-0028,INIT-014,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Depot Consolidation - Northern Region (INIT-014, Operations) and reported into the monthly PMO review.",Resource,2,3,6,143000,Interim contractor while permanent recruitment completes,Idris Bramley,Mitigating,2027-04-30,2027-06-14
RSK-0029,INIT-015,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Robotic Process Automation Factory (INIT-015, Operations) and reported into the monthly PMO review.",Financial,2,3,6,23000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Kofi Menzies,Open,2026-08-05,2026-11-03
RSK-0030,INIT-015,Single-source dependency on niche implementation partner,"Third-party performance risk against the contracted scope and timeline. Carried on Robotic Process Automation Factory (INIT-015, Operations) and reported into the monthly PMO review.",Vendor,2,3,6,34000,Knowledge transfer clauses; second supplier pre-qualified,Tessa Ferreira,Open,2026-03-01,2026-03-31
RSK-0031,INIT-016,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Quality Management System Harmonisation (INIT-016, Operations) and reported into the monthly PMO review.",Resource,4,5,20,146000,Interim contractor while permanent recruitment completes,Rafael Novak,Open,2026-01-26,2026-02-25
RSK-0032,INIT-016,Frontline adoption below target after go-live,"People-side risk: the change may not stick without sustained reinforcement. Carried on Quality Management System Harmonisation (INIT-016, Operations) and reported into the monthly PMO review.",Change/Adoption,4,3,12,171000,Super-user network; adoption dashboard tied to manager objectives,Rafael Novak,Mitigating,2026-04-26,2026-08-24
RSK-0033,INIT-016,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Quality Management System Harmonisation (INIT-016, Operations) and reported into the monthly PMO review.",Change/Adoption,4,5,20,253000,Early engagement with employee representatives; phased site-by-site rollout,Rafael Novak,Open,2026-01-18,2026-03-19
RSK-0034,INIT-016,Single-source dependency on niche implementation partner,"Third-party performance risk against the contracted scope and timeline. Carried on Quality Management System Harmonisation (INIT-016, Operations) and reported into the monthly PMO review.",Vendor,5,3,15,194000,Knowledge transfer clauses; second supplier pre-qualified,Rafael Novak,Mitigating,2026-06-09,2026-07-24
RSK-0035,INIT-017,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Health & Safety Digital Reporting (INIT-017, Operations) and reported into the monthly PMO review.",Financial,3,4,12,225000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Tessa Whitfield,Mitigating,2026-07-23,2026-09-06
RSK-0036,INIT-017,Critical path compresses if design sign-off slips,"Schedule and execution risk that could push the critical path to the right. Carried on Health & Safety Digital Reporting (INIT-017, Operations) and reported into the monthly PMO review.",Delivery,4,5,20,340000,Weekly design authority; pre-book sign-off slots with sponsor,Tessa Whitfield,Open,2026-07-01,2026-08-30
RSK-0037,INIT-017,Data engineering demand exceeds the available pool,"Capacity risk arising from contention for scarce specialist skills. Carried on Health & Safety Digital Reporting (INIT-017, Operations) and reported into the monthly PMO review.",Resource,4,4,16,122000,Prioritisation forum; contract two additional engineers,Lena Menzies,Mitigating,2026-07-11,2026-09-09
RSK-0038,INIT-018,Critical path compresses if design sign-off slips,"Schedule and execution risk that could push the critical path to the right. Carried on Service Scheduling & Dispatch Standardisation (INIT-018, Operations) and reported into the monthly PMO review.",Delivery,3,3,9,148000,Weekly design authority; pre-book sign-off slots with sponsor,Bjorn Nair,Open,2026-07-28,2026-11-25
RSK-0039,INIT-019,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Asset Utilisation & Fleet Telematics (INIT-019, Operations) and reported into the monthly PMO review.",Change/Adoption,2,3,6,93000,Early engagement with employee representatives; phased site-by-site rollout,Marcus Boateng,Open,2026-06-22,2026-08-21
RSK-0040,INIT-019,Key SME shared across three concurrent initiatives,"Capacity risk arising from contention for scarce specialist skills. Carried on Asset Utilisation & Fleet Telematics (INIT-019, Operations) and reported into the monthly PMO review.",Resource,1,4,4,116000,Formal allocation agreement; backfill the BAU role,Devon Doherty,Mitigating,2026-06-14,2026-07-29
RSK-0041,INIT-020,Licence pricing renegotiation lands above the business case,"Third-party performance risk against the contracted scope and timeline. Carried on Supplier Rationalisation Wave 2 (INIT-020, Supply Chain) and reported into the monthly PMO review.",Vendor,5,5,25,669000,Lock pricing at contract signature; cap uplift at CPI,Bjorn Duval,Mitigating,2026-05-31,2026-07-15
RSK-0042,INIT-020,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on Supplier Rationalisation Wave 2 (INIT-020, Supply Chain) and reported into the monthly PMO review.",Resource,5,4,20,373000,Ring-fence project allocation; agree BAU cover with the site leads,Bjorn Whitfield,Open,2026-04-17,2026-08-15
RSK-0043,INIT-020,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Supplier Rationalisation Wave 2 (INIT-020, Supply Chain) and reported into the monthly PMO review.",Delivery,3,5,15,181000,Change control board; scope baselined and re-approved monthly,Erik Nair,Mitigating,2026-07-26,2026-09-09
RSK-0044,INIT-020,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Supplier Rationalisation Wave 2 (INIT-020, Supply Chain) and reported into the monthly PMO review.",Financial,3,4,12,134000,Phase the spend; seek bridge funding from the contingency pot,Bjorn Whitfield,Closed,2026-05-22,2026-08-20
RSK-0045,INIT-021,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Distribution Network Redesign (INIT-021, Supply Chain) and reported into the monthly PMO review.",Financial,2,1,2,19000,Phase the spend; seek bridge funding from the contingency pot,Sinead Fraser,Closed,2026-08-11,2026-12-09
RSK-0046,INIT-021,Line managers not equipped to lead the change,"People-side risk: the change may not stick without sustained reinforcement. Carried on Distribution Network Redesign (INIT-021, Supply Chain) and reported into the monthly PMO review.",Change/Adoption,1,1,1,15000,Manager toolkit and briefing cascade ahead of each wave,Sinead Fraser,Open,2026-08-05,2026-12-03
RSK-0047,INIT-022,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on S&OP Process Standardisation (INIT-022, Supply Chain) and reported into the monthly PMO review.",Technical,3,5,15,330000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Rafael Nair,Open,2026-09-10,2026-10-25
RSK-0048,INIT-022,Frontline adoption below target after go-live,"People-side risk: the change may not stick without sustained reinforcement. Carried on S&OP Process Standardisation (INIT-022, Supply Chain) and reported into the monthly PMO review.",Change/Adoption,3,4,12,185000,Super-user network; adoption dashboard tied to manager objectives,Zoya Petrova,Mitigating,2026-09-09,2026-11-08
RSK-0049,INIT-023,Frontline adoption below target after go-live,"People-side risk: the change may not stick without sustained reinforcement. Carried on Inbound Freight Cost Reduction (INIT-023, Supply Chain) and reported into the monthly PMO review.",Change/Adoption,1,2,2,18000,Super-user network; adoption dashboard tied to manager objectives,Idris Vlach,Open,2026-07-20,2026-08-19
RSK-0050,INIT-024,Licence pricing renegotiation lands above the business case,"Third-party performance risk against the contracted scope and timeline. Carried on Warehouse Automation Pilot (INIT-024, Supply Chain) and reported into the monthly PMO review.",Vendor,2,4,8,31000,Lock pricing at contract signature; cap uplift at CPI,Rafael MacAulay,Closed,2026-12-12,2027-02-10
RSK-0051,INIT-024,Data residency requirements not met in target region,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Warehouse Automation Pilot (INIT-024, Supply Chain) and reported into the monthly PMO review.",Regulatory,3,2,6,24000,Regional data enclave; legal review before cutover,Devon Lindqvist,Open,2026-12-12,2027-01-26
RSK-0052,INIT-025,Licence pricing renegotiation lands above the business case,"Third-party performance risk against the contracted scope and timeline. Carried on Inventory Optimisation & Safety Stock Reset (INIT-025, Supply Chain) and reported into the monthly PMO review.",Vendor,5,4,20,95000,Lock pricing at contract signature; cap uplift at CPI,Sinead Whitfield,Mitigating,2026-06-14,2026-08-13
RSK-0053,INIT-025,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Inventory Optimisation & Safety Stock Reset (INIT-025, Supply Chain) and reported into the monthly PMO review.",Financial,5,5,25,235000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Gregor Mendes,Open,2026-08-03,2026-09-17
RSK-0054,INIT-026,Environment availability constrains parallel testing,"Technical uncertainty that may require rework or additional discovery effort. Carried on Warehouse Management System Upgrade (INIT-026, Supply Chain) and reported into the monthly PMO review.",Technical,2,3,6,45000,Build second test environment; stagger test cycles,Rohan Vlach,Closed,2026-01-30,2026-03-16
RSK-0055,INIT-026,Licence pricing renegotiation lands above the business case,"Third-party performance risk against the contracted scope and timeline. Carried on Warehouse Management System Upgrade (INIT-026, Supply Chain) and reported into the monthly PMO review.",Vendor,3,2,6,61000,Lock pricing at contract signature; cap uplift at CPI,Callum Corrigan,Mitigating,2026-04-03,2026-08-01
