role,month,quarter,available_fte,demanded_fte,gap_fte,utilisation_pct,over_allocated
Programme Manager,2026-01,2026Q1,20.3,2.0,18.3,9.9,FALSE
Programme Manager,2026-02,2026Q1,20.6,8.7,11.9,42.2,FALSE
Programme Manager,2026-03,2026Q1,20.5,9.6,10.9,46.8,FALSE
Programme Manager,2026-04,2026Q2,20.6,10.6,10.0,51.5,FALSE
Programme Manager,2026-05,2026Q2,21.0,11.6,9.4,55.2,FALSE
Programme Manager,2026-06,2026Q2,21.0,12.5,8.5,59.5,FALSE
Programme Manager,2026-07,2026Q3,19.8,13.2,6.6,66.7,FALSE
Programme Manager,2026-08,2026Q3,19.7,15.0,4.7,76.1,FALSE
Programme Manager,2026-09,2026Q3,21.0,16.5,4.5,78.6,FALSE
Programme Manager,2026-10,2026Q4,21.3,17.0,4.3,79.8,FALSE
Programme Manager,2026-11,2026Q4,21.5,17.1,4.4,79.5,FALSE
Programme Manager,2026-12,2026Q4,20.0,17.4,2.6,87.0,FALSE
Programme Manager,2027-01,2027Q1,21.4,18.2,3.2,85.0,FALSE
Programme Manager,2027-02,2027Q1,21.5,17.4,4.1,80.9,FALSE
Programme Manager,2027-03,2027Q1,21.8,17.3,4.5,79.4,FALSE
Programme Manager,2027-04,2027Q2,21.6,16.9,4.7,78.2,FALSE
Programme Manager,2027-05,2027Q2,21.7,16.3,5.4,75.1,FALSE
Programme Manager,2027-06,2027Q2,21.8,15.6,6.2,71.6,FALSE
Programme Manager,2027-07,2027Q3,20.7,14.8,5.9,71.5,FALSE
Programme Manager,2027-08,2027Q3,20.6,12.7,7.9,61.7,FALSE
Programme Manager,2027-09,2027Q3,22.1,11.4,10.7,51.6,FALSE
Programme Manager,2027-10,2027Q4,22.4,9.7,12.7,43.3,FALSE
Programme Manager,2027-11,2027Q4,22.2,8.5,13.7,38.3,FALSE
Programme Manager,2027-12,2027Q4,21.1,7.9,13.2,37.4,FALSE
Business Analyst,2026-01,2026Q1,49.2,8.9,40.3,18.1,FALSE
Business Analyst,2026-02,2026Q1,49.5,9.9,39.6,20.0,FALSE
Business Analyst,2026-03,2026Q1,49.7,16.4,33.3,33.0,FALSE
Business Analyst,2026-04,2026Q2,49.7,20.0,29.7,40.2,FALSE
Business Analyst,2026-05,2026Q2,49.8,24.2,25.6,48.6,FALSE
Business Analyst,2026-06,2026Q2,50.0,28.3,21.7,56.6,FALSE
Business Analyst,2026-07,2026Q3,47.5,31.3,16.2,65.9,FALSE
Business Analyst,2026-08,2026Q3,47.4,34.9,12.5,73.6,FALSE
Business Analyst,2026-09,2026Q3,50.8,37.8,13.0,74.4,FALSE
Business Analyst,2026-10,2026Q4,51.2,39.0,12.2,76.2,FALSE
Business Analyst,2026-11,2026Q4,51.3,39.1,12.2,76.2,FALSE
Business Analyst,2026-12,2026Q4,48.2,41.4,6.8,85.9,FALSE
Business Analyst,2027-01,2027Q1,51.5,38.3,13.2,74.4,FALSE
Business Analyst,2027-02,2027Q1,51.8,39.3,12.5,75.9,FALSE
Business Analyst,2027-03,2027Q1,51.8,36.3,15.5,70.1,FALSE
Business Analyst,2027-04,2027Q2,52.2,34.2,18.0,65.5,FALSE
Business Analyst,2027-05,2027Q2,52.3,30.6,21.7,58.5,FALSE
Business Analyst,2027-06,2027Q2,52.6,29.6,23.0,56.3,FALSE
Business Analyst,2027-07,2027Q3,49.7,29.7,20.0,59.8,FALSE
Business Analyst,2027-08,2027Q3,49.6,28.8,20.8,58.1,FALSE
Business Analyst,2027-09,2027Q3,53.0,25.9,27.1,48.9,FALSE
Business Analyst,2027-10,2027Q4,53.3,24.1,29.2,45.2,FALSE
Business Analyst,2027-11,2027Q4,53.5,23.3,30.2,43.6,FALSE
Business Analyst,2027-12,2027Q4,50.6,22.6,28.0,44.7,FALSE
Change Manager,2026-01,2026Q1,25.4,0.7,24.7,2.8,FALSE
Change Manager,2026-02,2026Q1,25.4,7.3,18.1,28.7,FALSE
Change Manager,2026-03,2026Q1,25.4,8.6,16.8,33.9,FALSE
Change Manager,2026-04,2026Q2,25.7,11.5,14.2,44.7,FALSE
Change Manager,2026-05,2026Q2,25.7,13.2,12.5,51.4,FALSE
Change Manager,2026-06,2026Q2,25.7,15.0,10.7,58.4,FALSE
Change Manager,2026-07,2026Q3,24.5,18.5,6.0,75.5,FALSE
Change Manager,2026-08,2026Q3,24.3,20.9,3.4,86.0,FALSE
Change Manager,2026-09,2026Q3,26.3,39.8,-13.5,151.3,TRUE
Change Manager,2026-10,2026Q4,26.2,38.1,-11.9,145.4,TRUE
Change Manager,2026-11,2026Q4,26.4,34.4,-8.0,130.3,TRUE
Change Manager,2026-12,2026Q4,25.0,29.7,-4.7,118.8,TRUE
Change Manager,2027-01,2027Q1,26.6,37.2,-10.6,139.8,TRUE
Change Manager,2027-02,2027Q1,26.4,28.3,-1.9,107.2,TRUE
Change Manager,2027-03,2027Q1,26.9,28.0,-1.1,104.1,TRUE
Change Manager,2027-04,2027Q2,26.9,16.2,10.7,60.2,FALSE
Change Manager,2027-05,2027Q2,27.1,15.8,11.3,58.3,FALSE
Change Manager,2027-06,2027Q2,27.0,13.8,13.2,51.1,FALSE
Change Manager,2027-07,2027Q3,25.6,13.1,12.5,51.2,FALSE
Change Manager,2027-08,2027Q3,25.7,13.0,12.7,50.6,FALSE
Change Manager,2027-09,2027Q3,27.3,12.7,14.6,46.5,FALSE
Change Manager,2027-10,2027Q4,27.3,9.5,17.8,34.8,FALSE
Change Manager,2027-11,2027Q4,27.4,8.7,18.7,31.8,FALSE
Change Manager,2027-12,2027Q4,26.0,7.7,18.3,29.6,FALSE
Data Engineer,2026-01,2026Q1,34.6,1.3,33.3,3.8,FALSE
Data Engineer,2026-02,2026Q1,34.9,1.4,33.5,4.0,FALSE
Data Engineer,2026-03,2026Q1,35.1,3.8,31.3,10.8,FALSE
Data Engineer,2026-04,2026Q2,35.2,5.0,30.2,14.2,FALSE
Data Engineer,2026-05,2026Q2,35.3,5.5,29.8,15.6,FALSE
Data Engineer,2026-06,2026Q2,35.3,10.0,25.3,28.3,FALSE
Data Engineer,2026-07,2026Q3,33.3,11.7,21.6,35.1,FALSE
Data Engineer,2026-08,2026Q3,33.6,17.7,15.9,52.7,FALSE
Data Engineer,2026-09,2026Q3,35.7,35.2,0.5,98.6,FALSE
Data Engineer,2026-10,2026Q4,36.0,36.1,-0.1,100.3,TRUE
Data Engineer,2026-11,2026Q4,36.1,42.1,-6.0,116.6,TRUE
Data Engineer,2026-12,2026Q4,34.2,44.7,-10.5,130.7,TRUE
Data Engineer,2027-01,2027Q1,36.2,43.5,-7.3,120.2,TRUE
Data Engineer,2027-02,2027Q1,36.3,50.8,-14.5,139.9,TRUE
Data Engineer,2027-03,2027Q1,36.5,54.1,-17.6,148.2,TRUE
Data Engineer,2027-04,2027Q2,36.7,29.2,7.5,79.6,FALSE
Data Engineer,2027-05,2027Q2,36.8,26.2,10.6,71.2,FALSE
Data Engineer,2027-06,2027Q2,37.0,24.9,12.1,67.3,FALSE
Data Engineer,2027-07,2027Q3,34.8,23.6,11.2,67.8,FALSE
Data Engineer,2027-08,2027Q3,34.9,22.1,12.8,63.3,FALSE
Data Engineer,2027-09,2027Q3,37.3,17.4,19.9,46.6,FALSE
Data Engineer,2027-10,2027Q4,37.8,15.4,22.4,40.7,FALSE
Data Engineer,2027-11,2027Q4,37.8,13.0,24.8,34.4,FALSE
Data Engineer,2027-12,2027Q4,35.7,10.9,24.8,30.5,FALSE
Solution Architect,2026-01,2026Q1,15.4,1.1,14.3,7.1,FALSE
Solution Architect,2026-02,2026Q1,15.4,4.2,11.2,27.3,FALSE
Solution Architect,2026-03,2026Q1,15.4,6.1,9.3,39.6,FALSE
Solution Architect,2026-04,2026Q2,15.3,7.3,8.0,47.7,FALSE
Solution Architect,2026-05,2026Q2,15.6,9.3,6.3,59.6,FALSE
Solution Architect,2026-06,2026Q2,15.4,10.1,5.3,65.6,FALSE
Solution Architect,2026-07,2026Q3,14.7,11.0,3.7,74.8,FALSE
Solution Architect,2026-08,2026Q3,14.9,11.3,3.6,75.8,FALSE
Solution Architect,2026-09,2026Q3,15.8,12.0,3.8,75.9,FALSE
Solution Architect,2026-10,2026Q4,16.0,12.2,3.8,76.2,FALSE
Solution Architect,2026-11,2026Q4,16.0,11.9,4.1,74.4,FALSE
