from_initiative,to_initiative,dependency_type,lag_days,criticality,notes
INIT-001,INIT-005,Data,14,Soft,Cloud Migration Wave 1 - Non-Production consumes data produced by Enterprise Data Platform (Lakehouse) Build.
INIT-001,INIT-022,Data,30,Hard,S&OP standardisation consumes harmonised demand and supply history from the lakehouse.
INIT-001,INIT-025,Data,30,Soft,"Inventory optimisation is materially better with lakehouse history, but could start on extracts."
INIT-001,INIT-026,Finish-to-Start,45,Hard,Enterprise Data Platform (Lakehouse) Build must complete before Warehouse Management System Upgrade can start.
INIT-001,INIT-033,Data,45,Hard,The FP&A rebuild reads its actuals layer directly from the lakehouse.
INIT-001,INIT-034,Technical Enabler,0,Hard,Insurance Programme Restructure cannot be built until the capability delivered by Enterprise Data Platform (Lakehouse) Build is available.
INIT-001,INIT-042,Data,0,Hard,Segmentation and price elasticity models cannot be built before the customer data domain lands.
INIT-001,INIT-059,Technical Enabler,0,Hard,Data governance controls are applied to the lakehouse; there is nothing to govern before it exists.
INIT-002,INIT-009,Finish-to-Start,30,Hard,Order management cannot leave the mainframe until finance postings are served by the ERP.
INIT-002,INIT-031,Technical Enabler,60,Hard,"The shared service centre operates on the consolidated finance module, not the old ledgers."
INIT-002,INIT-033,Data,30,Hard,The forecasting rebuild depends on the consolidated chart of accounts.
INIT-003,INIT-001,Data,14,Hard,Enterprise Data Platform (Lakehouse) Build consumes data produced by API Gateway & Integration Layer.
INIT-003,INIT-023,Technical Enabler,45,Hard,Inbound Freight Cost Reduction cannot be built until the capability delivered by API Gateway & Integration Layer is available.
INIT-003,INIT-040,Finish-to-Start,45,Hard,API Gateway & Integration Layer must complete before Overtime & Absence Management can start.
INIT-003,INIT-043,Technical Enabler,0,Hard,The e-commerce channel calls pricing and stock through the API layer.
INIT-003,INIT-049,Technical Enabler,14,Soft,Self-service portal services are exposed through the gateway.
INIT-004,INIT-002,Data,30,Soft,ERP Finance Module Consolidation consumes data produced by Identity & Access Management Modernisation.
INIT-004,INIT-008,Technical Enabler,20,Hard,Master Data Management - Customer & Product cannot be built until the capability delivered by Identity & Access Management Modernisation is available.
INIT-004,INIT-010,Technical Enabler,30,Soft,Engineers authenticate to the mobility app through the new identity platform.
INIT-004,INIT-015,Technical Enabler,0,Hard,Robotic Process Automation Factory cannot be built until the capability delivered by Identity & Access Management Modernisation is available.
INIT-004,INIT-019,Data,60,Hard,Asset Utilisation & Fleet Telematics consumes data produced by Identity & Access Management Modernisation.
INIT-004,INIT-056,Technical Enabler,30,Hard,SOX access-control remediation depends on the modernised role model.
INIT-004,INIT-057,Technical Enabler,0,Hard,"Privacy controls (consent, subject access, least privilege) are built on the new IAM stack."
INIT-005,INIT-006,Finish-to-Start,30,Hard,Production workloads only move once the non-production migration pattern is proven.
INIT-005,INIT-007,Data,45,Soft,CRM Platform Replacement consumes data produced by Cloud Migration Wave 1 - Non-Production.
INIT-005,INIT-012,Finish-to-Start,20,Hard,Cloud Migration Wave 1 - Non-Production must complete before Preventive Maintenance Programme Overhaul can start.
INIT-005,INIT-036,Data,0,Hard,Frontline Hiring Funnel Redesign consumes data produced by Cloud Migration Wave 1 - Non-Production.
