milestone_id,initiative_id,name,type,baseline_date,forecast_date,actual_date,status,slip_days,owner
MS-0001,INIT-001,Mobilisation & Scope Sign-Off,Gate,2025-12-21,2025-12-21,2025-12-21,Complete,0,Rafael Farouk
MS-0002,INIT-001,Design Complete,Deliverable,2026-02-12,2026-02-19,2026-02-19,Complete,7,Rafael Farouk
MS-0003,INIT-001,Build Complete,Deliverable,2026-04-06,2026-04-06,2026-04-06,Complete,0,Rafael Farouk
MS-0004,INIT-001,Stage Gate 2 - Ready for Test,Gate,2026-05-08,2026-05-08,2026-05-08,Complete,0,Elise Fraser
MS-0005,INIT-001,Benefit Checkpoint 1,Benefit Checkpoint,2026-07-11,2026-07-18,2026-07-18,Complete,7,Rafael Farouk
MS-0006,INIT-002,Mobilisation & Scope Sign-Off,Gate,2026-03-15,2026-03-25,2026-03-25,Complete,10,Lena Doherty
MS-0007,INIT-002,Design Complete,Deliverable,2026-07-14,2026-08-18,,In Progress,35,Beatriz Sandison
MS-0008,INIT-002,Build Complete,Deliverable,2026-11-12,2026-11-12,,Not Started,0,Lena Doherty
MS-0009,INIT-002,Stage Gate 2 - Ready for Test,Gate,2027-01-24,2027-02-11,,Not Started,18,Isla Farouk
MS-0010,INIT-002,Go-Live,Go-Live,2027-05-01,2027-05-26,,Not Started,25,Lena Doherty
MS-0011,INIT-002,Benefit Checkpoint 1,Benefit Checkpoint,2027-06-19,2027-06-29,,In Progress,10,Amara Buchanan
MS-0012,INIT-003,Mobilisation & Scope Sign-Off,Gate,2025-11-27,2025-12-18,2025-12-18,Complete,21,Lena Duval
MS-0013,INIT-003,Build Complete,Deliverable,2026-04-13,2026-05-04,2026-05-04,Complete,21,Lena Kilbride
MS-0014,INIT-003,Go-Live,Go-Live,2026-07-17,2026-09-15,,Missed,60,Clara Doherty
MS-0015,INIT-004,Mobilisation & Scope Sign-Off,Gate,2026-02-18,2026-03-08,2026-03-08,Complete,18,Yusuf Mendes
MS-0016,INIT-004,Design Complete,Deliverable,2026-04-19,2026-05-24,,Missed,35,Gregor Kaur
MS-0017,INIT-004,Build Complete,Deliverable,2026-06-19,2026-07-07,2026-07-07,Complete,18,Yusuf Mendes
MS-0018,INIT-004,Go-Live,Go-Live,2026-09-11,2026-09-16,,Not Started,5,Yusuf Mendes
MS-0019,INIT-004,Benefit Checkpoint 1,Benefit Checkpoint,2026-10-06,2026-10-31,,In Progress,25,Yusuf Mendes
MS-0020,INIT-005,Mobilisation & Scope Sign-Off,Gate,2026-03-22,2026-03-29,2026-03-29,Complete,7,Bjorn Whitfield
MS-0021,INIT-005,Build Complete,Deliverable,2027-01-05,2027-01-05,,In Progress,0,Bjorn Bramley
MS-0022,INIT-005,Go-Live,Go-Live,2027-07-26,2027-07-29,,In Progress,3,Isla Duval
MS-0023,INIT-006,Mobilisation & Scope Sign-Off,Gate,2026-02-21,2026-02-26,2026-02-26,Complete,5,Clara Arnesen
MS-0024,INIT-006,Design Complete,Deliverable,2026-05-30,2026-05-30,2026-05-30,Complete,0,Gregor Rahman
MS-0025,INIT-006,Stage Gate 2 - Ready for Test,Gate,2026-11-04,2026-11-04,,Not Started,0,Idris Lindqvist
MS-0026,INIT-006,Go-Live,Go-Live,2027-01-21,2027-02-25,,Not Started,35,Gregor Rahman
MS-0027,INIT-006,Benefit Checkpoint 1,Benefit Checkpoint,2027-03-02,2027-03-07,,Not Started,5,Gregor Rahman
MS-0028,INIT-007,Mobilisation & Scope Sign-Off,Gate,2026-05-24,2026-05-27,2026-05-27,Complete,3,Rohan Novak
MS-0029,INIT-007,Design Complete,Deliverable,2026-08-16,2026-08-23,,In Progress,7,Rohan Novak
MS-0030,INIT-007,Build Complete,Deliverable,2026-11-08,2026-11-15,,In Progress,7,Rohan Novak
MS-0031,INIT-007,Stage Gate 2 - Ready for Test,Gate,2026-12-28,2026-12-28,,Not Started,0,Rohan Novak
MS-0032,INIT-007,Go-Live,Go-Live,2027-03-05,2027-03-08,,Not Started,3,Rohan Novak
MS-0033,INIT-007,Benefit Checkpoint 1,Benefit Checkpoint,2027-04-08,2027-04-08,,Not Started,0,Rohan Novak
MS-0034,INIT-008,Mobilisation & Scope Sign-Off,Gate,2026-05-08,2026-05-08,2026-05-08,Complete,0,Idris Corrigan
MS-0035,INIT-008,Design Complete,Deliverable,2026-07-31,2026-08-18,,In Progress,18,Idris Corrigan
MS-0036,INIT-008,Build Complete,Deliverable,2026-10-22,2026-11-26,,Not Started,35,Idris Corrigan
